iter	RMSE
0	354672.0875
1	340741.1094
2	327348.0609
3	314339.8283
4	302466.7466
5	291252.4639
6	279987.1775
7	269810.2912
8	260232.8332
9	250753.872
10	242133.9147
11	233877.0632
12	226146.7457
13	218525.3748
14	211502.5296
15	205107.8566
16	198945.4948
17	192625.2738
18	186830.7206
19	181578.9956
20	176657.6081
21	171899.6625
22	167560.3741
23	163410.9808
24	159590.8414
25	155774.3576
26	152325.6293
27	149027.5288
28	145965.3423
29	142976.9211
30	140247.6021
31	137729.0024
32	135460.032
33	133114.8523
34	130901.4585
35	128931.6681
36	127209.4711
37	125364.6306
38	123721.3515
39	122156.1448
40	120821.6838
41	119399.4633
42	118163.8435
43	117041.2935
44	115778.4141
45	114670.3265
46	113593.2039
47	112435.523
48	111518.44
49	110733.2583
50	109932.101
51	108839.2643
52	107955.9822
53	107329.1358
54	106579.1526
55	105926.2234
56	105301.085
57	104689.7975
58	103917.6858
59	103362.3564
60	102888.0351
61	102310.504
62	101863.1133
63	101290.1771
64	100818.6755
65	100332.8061
66	99833.64227
67	99388.81842
68	99050.19453
69	98770.27919
70	98395.3606
71	98085.43032
72	97779.20373
73	97455.90066
74	97174.51525
75	96889.59661
76	96626.29299
77	96304.18006
78	96023.69931
79	95681.06782
80	95489.68792
81	95207.81209
82	94992.29711
83	94543.22406
84	94324.73028
85	93979.31294
86	93757.98091
87	93459.20438
88	93114.99416
89	92849.60709
90	92631.78664
91	92455.13492
92	92192.06636
93	92054.17929
94	91869.31133
95	91490.12448
96	91367.40428
97	91219.47338
98	91075.0277
99	90858.02714
100	90740.52132
101	90501.44786
102	90371.63151
103	90164.05599
104	90038.96148
105	89864.15591
106	89704.75097
107	89579.71356
108	89268.6006
109	89158.78741
110	88907.35882
111	88807.65724
112	88671.78046
113	88533.54805
114	88318.77367
115	88205.53095
116	88098.91427
117	87919.57717
118	87779.23176
119	87542.09514
120	87457.08042
121	87235.37297
122	87140.23318
123	86917.07211
124	86789.19588
125	86699.98785
126	86586.91241
127	86524.85683
128	86380.60746
129	86275.61937
130	86128.83773
131	85960.33656
132	85858.66032
133	85780.12697
134	85688.87549
135	85626.6535
136	85519.43281
137	85349.28414
138	85245.13243
139	85127.98555
140	85026.59864
141	84909.17196
142	84719.22049
143	84643.12043
144	84610.17053
145	84513.51798
146	84450.13964
147	84376.88262
148	84276.64222
149	84184.42426
150	84136.68062
151	84031.59581
152	83876.00178
153	83807.31958
154	83756.43494
155	83674.24391
156	83563.95766
157	83462.0775
158	83371.03584
159	83295.64578
160	83243.12152
161	83126.89363
162	82987.74851
163	82907.59372
164	82803.08133
165	82704.91083
166	82613.4701
167	82539.55763
168	82505.42678
169	82440.08118
170	82362.07368
171	82252.66315
172	82170.59868
173	82110.29476
174	81974.64374
175	81804.91036
176	81735.42334
177	81659.64399
178	81589.91771
179	81559.23331
180	81445.19329
181	81343.9535
182	81275.32173
183	81126.34028
184	81061.53092
185	81008.52701
186	80967.83864
187	80840.27464
188	80788.0171
189	80711.82574
190	80662.01109
191	80589.15112
192	80505.55793
193	80403.89578
194	80351.69195
195	80274.00892
196	80205.01762
197	80167.25935
198	80137.72939
199	80064.34638
200	80003.72334
201	79946.91797
202	79851.54061
203	79793.98216
204	79735.22298
205	79682.97001
206	79643.84658
207	79591.13964
208	79496.30634
209	79435.93786
210	79308.36105
211	79231.36137
212	79146.95344
213	79049.49862
214	78975.6389
215	78871.79083
216	78801.33269
217	78758.04872
218	78677.60846
219	78640.91866
220	78595.93488
221	78519.79512
222	78454.21106
223	78396.40666
224	78361.02705
225	78313.3902
226	78262.37128
227	78202.05201
228	78152.87492
229	78119.57917
230	78021.079
231	77969.65767
232	77898.58535
233	77855.43687
234	77804.92432
235	77769.50504
236	77716.65391
237	77682.33529
238	77630.88436
239	77574.30516
240	77537.57849
241	77490.27068
242	77444.35663
243	77403.86741
244	77354.68518
245	77316.83445
246	77270.87291
247	77240.38452
248	77173.48892
249	77137.66098
250	77099.25225
251	77068.79634
252	77037.28563
253	76984.98223
254	76933.74474
255	76896.66578
256	76842.59009
257	76786.99585
258	76748.33416
259	76658.49307
260	76627.78858
261	76595.49682
262	76510.12525
263	76456.56255
264	76395.92378
265	76353.94764
266	76311.92903
267	76251.62712
268	76217.84908
269	76174.56429
270	76139.62046
271	76105.75763
272	76027.62931
273	75980.14988
274	75898.1121
275	75854.72097
276	75816.63694
277	75789.26173
278	75757.30553
279	75711.41956
280	75684.18856
281	75646.72904
282	75605.18006
283	75569.45799
284	75523.79629
285	75467.00121
286	75442.83201
287	75401.02659
288	75367.05774
289	75298.42505
290	75273.7152
291	75220.21089
292	75186.54674
293	75152.32635
294	75119.88144
295	75085.69627
296	75050.69782
297	75014.17333
298	74964.74117
299	74928.38542
300	74887.34745
301	74856.45697
302	74779.66683
303	74664.30343
304	74630.62034
305	74592.14047
306	74544.77241
307	74513.09617
308	74469.74402
309	74433.82647
310	74415.15058
311	74378.3319
312	74345.50434
313	74312.68967
314	74251.22079
315	74222.42001
316	74157.4543
317	74133.87311
318	74065.19678
319	74041.09249
320	74010.59834
321	73975.18871
322	73952.01983
323	73888.98558
324	73861.76782
325	73839.6121
326	73810.26854
327	73777.92302
328	73740.52567
329	73713.71639
330	73683.8226
331	73645.80497
332	73619.16417
333	73594.83907
334	73537.31499
335	73509.85511
336	73478.21959
337	73419.84922
338	73387.54354
339	73332.46633
340	73281.75136
341	73238.27352
342	73214.50592
343	73167.43321
344	73142.19377
345	73120.94579
346	73102.23886
347	73067.89839
348	73032.50777
349	72992.84422
350	72958.37878
351	72937.87911
352	72887.68742
353	72859.12241
354	72822.24438
355	72793.07743
356	72744.43998
357	72687.45855
358	72649.07921
359	72619.55612
360	72576.45249
361	72551.59759
362	72488.03116
363	72409.89226
364	72384.23758
365	72351.90709
366	72322.5291
367	72298.12974
368	72258.60637
369	72229.72844
370	72189.69967
371	72159.2284
372	72138.58299
373	72116.40348
374	72053.24618
375	72015.99259
376	71958.23491
377	71893.07552
378	71838.7319
379	71792.02927
380	71783.59401
381	71752.55436
382	71696.56625
383	71670.56434
384	71646.8045
385	71610.99836
386	71580.40369
387	71569.2807
388	71517.91885
389	71506.80059
390	71452.56523
391	71419.6447
392	71390.98402
393	71382.89339
394	71350.8841
395	71323.39647
396	71317.1733
397	71291.02645
398	71264.25004
399	71236.26853
400	71192.45368
401	71175.39555
402	71116.98348
403	71076.1547
404	71044.48081
405	71005.71761
406	70975.90903
407	70955.20132
408	70943.87272
409	70908.02427
410	70863.76135
411	70833.56467
412	70797.75025
413	70772.32041
414	70740.07524
415	70702.12981
416	70686.06903
417	70669.14983
418	70656.02636
419	70600.75705
420	70584.58971
421	70541.18599
422	70519.12935
423	70483.97696
424	70446.69855
425	70414.24125
426	70392.39307
427	70326.45097
428	70294.10532
429	70279.73068
430	70260.27214
431	70232.51205
432	70207.15991
433	70187.30734
434	70159.28962
435	70132.23171
436	70076.29852
437	70063.51306
438	70016.03464
439	69981.20638
440	69946.57195
441	69937.17129
442	69905.57734
443	69880.53195
444	69850.11106
445	69832.82586
446	69815.79563
447	69790.70803
448	69774.96951
449	69748.67185
450	69729.03555
451	69686.24969
452	69651.29116
453	69625.76855
454	69602.69024
455	69547.12684
456	69528.62942
457	69500.51204
458	69473.50742
459	69441.65796
460	69404.72317
461	69397.20766
462	69347.31102
463	69308.95839
464	69296.76173
465	69251.04625
466	69213.35119
467	69158.60391
468	69131.82236
469	69112.80242
470	69059.39196
471	69047.64171
472	69012.31356
473	68979.70314
474	68950.45134
475	68914.32718
476	68905.89744
477	68896.59422
478	68872.00441
479	68836.973
480	68825.83751
481	68792.68644
