iter	Passed	Remaining
0	3	3543
1	6	3123
2	8	2975
3	11	2908
4	14	2853
5	16	2808
6	19	2780
7	22	2782
8	25	2765
9	27	2744
10	30	2730
11	32	2714
12	35	2713
13	38	2703
14	40	2692
15	43	2683
16	46	2681
17	48	2672
18	51	2668
19	54	2657
20	56	2653
21	59	2651
22	62	2655
23	65	2651
24	67	2648
25	70	2647
26	73	2643
27	75	2637
28	78	2636
29	81	2634
30	84	2630
31	86	2626
32	89	2624
33	92	2621
34	94	2617
35	97	2614
36	100	2608
37	102	2605
38	105	2605
39	108	2603
40	111	2601
41	113	2596
42	116	2590
43	119	2587
44	121	2582
45	124	2578
46	127	2575
47	129	2569
48	132	2568
49	135	2567
50	137	2562
51	140	2561
52	143	2570
53	148	2597
54	151	2601
55	154	2600
56	157	2604
57	160	2605
58	163	2612
59	166	2613
60	169	2614
61	173	2622
62	176	2629
63	180	2635
64	183	2637
65	187	2652
66	191	2661
67	194	2671
68	198	2679
69	202	2686
70	205	2686
71	209	2694
72	212	2700
73	215	2697
74	218	2694
75	221	2690
76	224	2687
77	227	2689
78	230	2686
79	233	2681
80	236	2677
81	238	2674
82	242	2677
83	245	2680
84	248	2678
85	252	2681
86	255	2681
87	258	2677
88	261	2674
89	264	2670
90	266	2666
91	269	2663
92	272	2658
93	275	2654
94	278	2649
95	281	2646
96	283	2641
97	286	2637
98	289	2632
99	291	2627
100	294	2622
101	297	2618
102	300	2613
103	302	2608
104	305	2604
105	308	2599
106	310	2594
107	313	2589
108	316	2584
109	318	2580
110	321	2575
111	324	2570
112	327	2566
113	329	2562
114	332	2558
115	335	2554
116	337	2550
117	340	2546
118	343	2544
119	346	2540
120	349	2535
121	352	2540
122	356	2538
123	358	2535
124	361	2531
125	364	2527
126	367	2523
127	369	2518
128	372	2515
129	375	2510
130	377	2506
131	380	2502
132	383	2498
133	385	2494
134	388	2489
135	391	2484
136	393	2480
137	396	2477
138	399	2473
139	402	2470
140	404	2466
141	407	2462
142	410	2458
143	413	2455
144	415	2451
145	418	2447
146	421	2443
147	423	2439
148	426	2435
